StartDate,JobNum,PartNum,OpDesc,OprSeq,ProdStandard,TotalLaborHours,ProdQty,LaborHoursPerUnit,TotalProdStandard
2023-08-21,426125,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,14.87,1.0,14.87,7.5
2023-08-21,426124,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,14.08,1.0,14.08,7.5
2024-02-08,459611,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,12.93,1.0,12.93,7.5
2024-02-08,459612,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,9.440000000000001,1.0,9.440000000000001,7.5
2024-02-19,459615,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,7.67,1.0,7.67,7.5
2024-02-19,459614,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,16.250000000000004,1.0,16.250000000000004,7.5
2024-02-21,459653,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,14.879999999999997,1.0,14.879999999999997,7.5
2024-02-21,459620,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,10.1,1.0,10.1,7.5
2024-02-21,459652,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,10.4,1.0,10.4,7.5
2024-02-22,459619,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,9.23,1.0,9.23,7.5
2024-02-28,459605,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,7.51,1.0,7.51,7.5
2024-02-28,459607,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,6.05,1.0,6.05,7.5
2024-03-03,459622,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,11.459999999999999,1.0,11.459999999999999,7.5
2024-03-03,459623,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,11.7,1.0,11.7,7.5
2024-03-06,459627,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,15.26,1.0,15.26,7.5
2024-03-06,459628,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,12.030000000000001,1.0,12.030000000000001,7.5
2024-03-13,459630,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,6.3500000000000005,1.0,6.3500000000000005,7.5
2024-03-13,459631,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,7.2,1.0,7.2,7.5
2024-03-14,459639,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,14.490000000000002,1.0,14.490000000000002,7.5
2024-03-14,459640,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,7.93,1.0,7.93,7.5
2024-03-19,459649,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,33.49,5.0,6.698,37.5
2024-03-24,459650,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,27.860000000000003,5.0,5.572000000000001,37.5
2024-03-24,459635,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,30.139999999999997,1.0,30.139999999999997,7.5
2024-03-24,459636,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,21.17,1.0,21.17,7.5
2024-03-25,470360,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,6.409999999999999,1.0,6.409999999999999,7.5
2024-03-25,459647,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,18.709999999999997,1.0,18.709999999999997,7.5
2024-03-25,470359,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,18.67,1.0,18.67,7.5
2024-03-25,459646,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,13.520000000000001,1.0,13.520000000000001,7.5
2024-03-31,470370,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,37.26,5.0,7.452,37.5
2024-04-09,470367,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,48.66,5.0,9.732,37.5
